1 0 0 1
2 0 0 1
3 0 0 1
55 0 1 0
56 0 0 1
57 0 0 1
58 0 0 1
110 0 1 0
111 0 0 1
112 0 0 1
113 0 0 1
165 0 1 0
166 0 0 1
167 0 0 1
168 0 0 1
220 0 1 0
221 0 0 1
222 0 0 1
223 0 0 1
275 0 1 0
276 0 0 1
277 0 0 1
278 0 0 1
330 0 1 0
331 0 0 1
332 0 0 1
333 0 0 1
385 0 1 0
386 0 0 1
387 0 0 1
388 0 0 1
440 0 1 0
441 0 0 1
442 0 0 1
443 0 0 1
495 0 1 0
496 0 0 1
497 0 0 1
498 0 0 1
550 0 1 0
551 0 0 1
552 0 0 1
553 0 0 1
605 0 1 0
606 0 0 1
607 0 0 1
608 0 0 1
660 0 1 0
661 0 0 1
662 0 0 1
663 0 0 1
715 0 1 0
716 0 0 1
717 0 0 1
718 0 0 1
770 0 1 0
771 0 0 1
772 0 0 1
773 0 0 1
825 0 1 0
826 0 0 1
827 0 0 1
828 0 0 1
880 0 1 0
881 0 0 1
882 0 0 1
883 0 0 1
935 0 1 0
936 0 0 1
937 0 0 1
938 0 0 1
990 0 1 0
991 0 0 1
992 0 0 1
993 0 0 1
1045 0 1 0
1046 0 0 1
1047 0 0 1
1048 0 0 1
1100 0 1 0
1101 0 0 1
1102 0 0 1
1103 0 0 1
1155 0 1 0
1156 0 0 1
1157 0 0 1
1158 0 0 1
1210 0 1 0
1211 0 0 1
1212 0 0 1
1213 0 0 1
1265 0 1 0
1266 0 0 1
1267 0 0 1
1268 0 0 1
1320 0 1 0
1321 0 0 1
1322 0 0 1
1323 0 0 1
1375 0 1 0
1376 0 0 1
1377 0 0 1
1378 0 0 1
1430 0 1 0
1431 0 0 1
1432 0 0 1
1433 0 0 1
1485 0 1 0
1486 0 0 1
1487 0 0 1
1488 0 0 1
1540 0 1 0
1541 0 0 1
1542 0 0 1
1543 0 0 1
1595 0 1 0
1596 0 0 1
1597 0 0 1
1598 0 0 1
1650 0 1 0
1651 0 0 1
1652 0 0 1
1653 0 0 1
1705 0 1 0
1706 0 0 1
1707 0 0 1
1708 0 0 1
1760 0 1 0
1761 0 0 1
1762 0 0 1
1763 0 0 1
1815 0 1 0
1816 0 0 1
1817 0 0 1
1818 0 0 1
1870 0 1 0
1871 0 0 1
1872 0 0 1
1873 0 0 1
1925 0 1 0
1926 0 0 1
1927 0 0 1
1928 0 0 1
1980 0 1 0
1981 0 0 1
1982 0 0 1
1983 0 0 1
2035 0 1 0
2036 0 0 1
2037 0 0 1
2038 0 0 1
2090 0 1 0
2091 0 0 1
2092 0 0 1
2093 0 0 1
2145 0 1 0
2146 0 0 1
2147 0 0 1
2148 0 0 1
2200 0 1 0
2201 0 0 1
2202 0 0 1
2203 0 0 1
2255 0 1 0
2256 0 0 1
2257 0 0 1
2258 0 0 1
2310 0 1 0
